Code,ICD-9 Code,Description,HCUP CCS Classification,HCC Category,CCW Classification,CDPS Classification
1854,20265,Mal mastocytosis inguin,Ot primry ca,"HCC9 Lymphatic, Head and Neck, Brain, and Other Major Cancers",,"Cancer, Medium"
1855,20266,Mal mastocytosis pelvic,Ot primry ca,"HCC9 Lymphatic, Head and Neck, Brain, and Other Major Cancers",,"Cancer, Medium"
1856,20267,Mal mastocytosis spleen,Ot primry ca,"HCC9 Lymphatic, Head and Neck, Brain, and Other Major Cancers",,"Cancer, Medium"
1857,20268,Mal mastocytosis mult,Ot primry ca,"HCC9 Lymphatic, Head and Neck, Brain, and Other Major Cancers",,"Cancer, Medium"
1858,20270,Periph T cell lym xtrndl,Non-Hodg lym,"HCC9 Lymphatic, Head and Neck, Brain, and Other Major Cancers",,"Cancer, High"
1859,20271,Periph T cell lymph head,Non-Hodg lym,"HCC9 Lymphatic, Head and Neck, Brain, and Other Major Cancers",,"Cancer, High"
1860,20272,Periph T cell lym thorax,Non-Hodg lym,"HCC9 Lymphatic, Head and Neck, Brain, and Other Major Cancers",,"Cancer, High"
1861,20273,Periph T cell lym abdom,Non-Hodg lym,"HCC9 Lymphatic, Head and Neck, Brain, and Other Major Cancers",,"Cancer, High"
1862,20274,Periph T cell lym axilla,Non-Hodg lym,"HCC9 Lymphatic, Head and Neck, Brain, and Other Major Cancers",,"Cancer, High"
1863,20275,Periph T cell lym inguin,Non-Hodg lym,"HCC9 Lymphatic, Head and Neck, Brain, and Other Major Cancers",,"Cancer, High"
1864,20276,Periph T cell lym pelvic,Non-Hodg lym,"HCC9 Lymphatic, Head and Neck, Brain, and Other Major Cancers",,"Cancer, High"
1865,20277,Periph T cell lym spleen,Non-Hodg lym,"HCC9 Lymphatic, Head and Neck, Brain, and Other Major Cancers",,"Cancer, High"
1866,20278,Periph T cell lym multip,Non-Hodg lym,"HCC9 Lymphatic, Head and Neck, Brain, and Other Major Cancers",,"Cancer, High"
1867,20280,Oth lymp unsp xtrndl org,Non-Hodg lym,"HCC9 Lymphatic, Head and Neck, Brain, and Other Major Cancers",,"Cancer, Medium"
1868,20281,Lymphomas NEC head,Non-Hodg lym,"HCC9 Lymphatic, Head and Neck, Brain, and Other Major Cancers",,"Cancer, Medium"
1869,20282,Lymphomas NEC thorax,Non-Hodg lym,"HCC9 Lymphatic, Head and Neck, Brain, and Other Major Cancers",,"Cancer, Medium"
1870,20283,Lymphomas NEC abdom,Non-Hodg lym,"HCC9 Lymphatic, Head and Neck, Brain, and Other Major Cancers",,"Cancer, Medium"
1871,20284,Lymphomas NEC axilla,Non-Hodg lym,"HCC9 Lymphatic, Head and Neck, Brain, and Other Major Cancers",,"Cancer, Medium"
1872,20285,Lymphomas NEC inguin,Non-Hodg lym,"HCC9 Lymphatic, Head and Neck, Brain, and Other Major Cancers",,"Cancer, Medium"
