Code,ICD-9 Code,Description,HCUP CCS Classification,HCC Category,CCW Classification,CDPS Classification
0,10,Cholera d/t vib cholerae,Intest infct,,,"Gastrointestinal, Super Low"
1,11,Cholera d/t vib el tor,Intest infct,,,"Gastrointestinal, Super Low"
2,19,Cholera NOS,Intest infct,,,"Gastrointestinal, Super Low"
3,20,Typhoid fever,Intest infct,,,"Gastrointestinal, Super Low"
4,21,Paratyphoid fever a,Intest infct,,,"Gastrointestinal, Super Low"
5,22,Paratyphoid fever b,Intest infct,,,"Gastrointestinal, Super Low"
6,23,Paratyphoid fever c,Intest infct,,,"Gastrointestinal, Super Low"
7,29,Paratyphoid fever NOS,Intest infct,,,"Gastrointestinal, Super Low"
8,30,Salmonella enteritis,Intest infct,,,"Gastrointestinal, Super Low"
9,31,Salmonella septicemia,Septicemia,HCC2 Septicemia/Shock,,"Gastrointestinal, Super Low"
10,320,Local salmonella inf NOS,Intest infct,,,"Gastrointestinal, Super Low"
11,321,Salmonella meningitis,Meningitis,,,"Gastrointestinal, Super Low"
12,322,Salmonella pneumonia,Pneumonia,"HCC112 Pneumococcal Pneumonia, Empyema, Lung Abscess",,"Gastrointestinal, Super Low"
13,323,Salmonella arthritis,Infect arth,HCC37 Bone/Joint/Muscle Infections/Necrosis,,"Gastrointestinal, Super Low"
14,324,Salmonella osteomyelitis,Infect arth,HCC37 Bone/Joint/Muscle Infections/Necrosis,,"Gastrointestinal, Super Low"
15,329,Local salmonella inf NEC,Intest infct,,,"Gastrointestinal, Super Low"
16,38,Salmonella infection NEC,Intest infct,,,"Gastrointestinal, Super Low"
17,39,Salmonella infection NOS,Intest infct,,,"Gastrointestinal, Super Low"
18,40,Shigella dysenteriae,Intest infct,,,"Gastrointestinal, Super Low"
19,41,Shigella flexneri,Intest infct,,,"Gastrointestinal, Super Low"
20,42,Shigella boydii,Intest infct,,,"Gastrointestinal, Super Low"
21,43,Shigella sonnei,Intest infct,,,"Gastrointestinal, Super Low"
22,48,Shigella infection NEC,Intest infct,,,"Gastrointestinal, Super Low"
23,49,Shigellosis NOS,Intest infct,,,"Gastrointestinal, Super Low"
24,50,Staph food poisoning,Intest infct,,,"Gastrointestinal, Super Low"
25,51,Botulism food poisoning,Intest infct,,,"Gastrointestinal, Super Low"
26,52,Food pois d/t c. perfrin,Intest infct,,,"Gastrointestinal, Super Low"
27,53,Food pois: clostrid NEC,Intest infct,,,"Gastrointestinal, Super Low"
28,54,Food pois: v. parahaem,Intest infct,,,"Gastrointestinal, Super Low"
29,581,Food poisn d/t v. vulnif,Intest infct,,,"Gastrointestinal, Super Low"
30,589,Bact food poisoning NEC,Intest infct,,,"Gastrointestinal, Super Low"
31,59,Food poisoning NOS,Intest infct,,,"Gastrointestinal, Super Low"
32,60,Ac amebiasis w/o abscess,Intest infct,,,"Gastrointestinal, Super Low"
33,61,Chr amebiasis w/o absces,Intest infct,,,"Gastrointestinal, Super Low"
34,62,Amebic nondysent colitis,Intest infct,,,"Gastrointestinal, Super Low"
35,63,Amebic liver abscess,Intest infct,,,"Gastrointestinal, Super Low"
36,64,Amebic lung abscess,Intest infct,"HCC112 Pneumococcal Pneumonia, Empyema, Lung Abscess",,"Gastrointestinal, Super Low"
37,65,Amebic brain abscess,Intest infct,,,"Gastrointestinal, Super Low"
38,66,Amebic skin ulceration,Intest infct,,,"Gastrointestinal, Super Low"
39,68,Amebic infection NEC,Intest infct,,,"Gastrointestinal, Super Low"
40,69,Amebiasis NOS,Intest infct,,,"Gastrointestinal, Super Low"
41,70,Balantidiasis,Intest infct,,,"Gastrointestinal, Super Low"
42,71,Giardiasis,Intest infct,,,"Gastrointestinal, Super Low"
43,72,Coccidiosis,Intest infct,,,"Gastrointestinal, Super Low"
44,73,Intest trichomoniasis,Intest infct,,,"Gastrointestinal, Super Low"
45,74,Cryptosporidiosis,Intest infct,HCC5 Opportunistic Infections,,"Gastrointestinal, Super Low"
46,75,Cyclosporiasis,Intest infct,,,"Gastrointestinal, Low"
47,78,Protozoal intest dis NEC,Intest infct,,,"Gastrointestinal, Super Low"
48,79,Protozoal intest dis NOS,Intest infct,,,"Gastrointestinal, Super Low"
49,800,Intest infec e coli NOS,Intest infct,,,"Gastrointestinal, Super Low"
50,801,Int inf e coli entrpath,Intest infct,,,"Gastrointestinal, Super Low"
51,802,Int inf e coli entrtoxgn,Intest infct,,,"Gastrointestinal, Super Low"
52,803,Int inf e coli entrnvsv,Intest infct,,,"Gastrointestinal, Super Low"
53,804,Int inf e coli entrhmrg,Intest infct,,,"Gastrointestinal, Super Low"
54,809,Int inf e coli spcf NEC,Intest infct,,,"Gastrointestinal, Super Low"
55,81,Arizona enteritis,Intest infct,,,"Gastrointestinal, Super Low"
56,82,Aerobacter enteritis,Intest infct,,,"Gastrointestinal, Super Low"
57,83,Proteus enteritis,Intest infct,,,"Gastrointestinal, Super Low"
58,841,Staphylococc enteritis,Intest infct,,,"Gastrointestinal, Super Low"
59,842,Pseudomonas enteritis,Intest infct,,,"Gastrointestinal, Super Low"
60,843,Int infec campylobacter,Intest infct,,,"Gastrointestinal, Super Low"
61,844,Int inf yrsnia entrcltca,Intest infct,,,"Gastrointestinal, Super Low"
62,845,Int inf clstrdium dfcile,Intest infct,,,"Gastrointestinal, Super Low"
63,846,Intes infec oth anerobes,Intest infct,,,"Gastrointestinal, Super Low"
64,847,Int inf oth grm neg bctr,Intest infct,,,"Gastrointestinal, Super Low"
65,849,Bacterial enteritis NEC,Intest infct,,,"Gastrointestinal, Super Low"
66,85,Bacterial enteritis NOS,Intest infct,,,"Gastrointestinal, Super Low"
67,861,Intes infec rotavirus,Intest infct,,,"Gastrointestinal, Super Low"
68,862,Intes infec adenovirus,Intest infct,,,"Gastrointestinal, Super Low"
69,863,Int inf norwalk virus,Intest infct,,,"Gastrointestinal, Super Low"
70,864,Int inf oth sml rnd vrus,Intest infct,,,"Gastrointestinal, Super Low"
71,865,Enteritis d/t calicivirs,Intest infct,,,"Gastrointestinal, Super Low"
72,866,Intes infec astrovirus,Intest infct,,,"Gastrointestinal, Super Low"
73,867,Int inf enterovirus NEC,Intest infct,,,"Gastrointestinal, Super Low"
74,869,Other viral intes infec,Intest infct,,,"Gastrointestinal, Super Low"
75,88,Viral enteritis NOS,Intest infct,,,"Gastrointestinal, Super Low"
76,90,Infectious enteritis NOS,Intest infct,,,"Gastrointestinal, Super Low"
77,91,Enteritis of infect orig,Intest infct,,,"Gastrointestinal, Super Low"
78,92,Infectious diarrhea NOS,Intest infct,,,"Gastrointestinal, Super Low"
79,93,Diarrhea of infect orig,Intest infct,,,"Gastrointestinal, Super Low"
80,00100,Prim TB complex-unspec,Tuberculosis,,,"Pulmonary, Super Low"
81,01001,Prim TB complex-no exam,Tuberculosis,,,"Pulmonary, Super Low"
82,01002,Prim TB complex-exm unkn,Tuberculosis,,,"Pulmonary, Super Low"
83,01003,Prim TB complex-micro dx,Tuberculosis,,,"Pulmonary, Super Low"
84,01004,Prim TB complex-cult dx,Tuberculosis,,,"Pulmonary, Super Low"
85,01005,Prim TB complex-histo dx,Tuberculosis,,,"Pulmonary, Super Low"
86,01006,Prim TB complex-oth test,Tuberculosis,,,"Pulmonary, Super Low"
87,00101,Prim TB pleurisy-unspec,Tuberculosis,,,"Pulmonary, Super Low"
88,01011,Prim TB pleurisy-no exam,Tuberculosis,,,"Pulmonary, Super Low"
89,01012,Prim TB pleur-exam unkn,Tuberculosis,,,"Pulmonary, Super Low"
90,01013,Prim TB pleuris-micro dx,Tuberculosis,,,"Pulmonary, Super Low"
91,01014,Prim TB pleurisy-cult dx,Tuberculosis,,,"Pulmonary, Super Low"
92,01015,Prim TB pleuris-histo dx,Tuberculosis,,,"Pulmonary, Super Low"
93,01016,Prim TB pleuris-oth test,Tuberculosis,,,"Pulmonary, Super Low"
94,01080,Prim prog TB NEC-unspec,Tuberculosis,,,"Pulmonary, Super Low"
95,01081,Prim prog TB NEC-no exam,Tuberculosis,,,"Pulmonary, Super Low"
96,01082,Prim pr TB NEC-exam unkn,Tuberculosis,,,"Pulmonary, Super Low"
97,01083,Prim prg TB NEC-micro dx,Tuberculosis,,,"Pulmonary, Super Low"
98,01084,Prim prog TB NEC-cult dx,Tuberculosis,,,"Pulmonary, Super Low"
99,01085,Prim prg TB NEC-histo dx,Tuberculosis,,,"Pulmonary, Super Low"
100,01086,Prim prg TB NEC-oth test,Tuberculosis,,,"Pulmonary, Super Low"
101,01090,Primary TB NOS-unspec,Tuberculosis,,,"Pulmonary, Super Low"
102,01091,Primary TB NOS-no exam,Tuberculosis,,,"Pulmonary, Super Low"
103,01092,Primary TB NOS-exam unkn,Tuberculosis,,,"Pulmonary, Super Low"
104,01093,Primary TB NOS-micro dx,Tuberculosis,,,"Pulmonary, Super Low"
105,01094,Primary TB NOS-cult dx,Tuberculosis,,,"Pulmonary, Super Low"
106,01095,Primary TB NOS-histo dx,Tuberculosis,,,"Pulmonary, Super Low"
107,01096,Primary TB NOS-oth test,Tuberculosis,,,"Pulmonary, Super Low"
108,00110,TB lung infiltr-unspec,Tuberculosis,,,"Pulmonary, Super Low"
109,01101,TB lung infiltr-no exam,Tuberculosis,,,"Pulmonary, Super Low"
110,01102,TB lung infiltr-exm unkn,Tuberculosis,,,"Pulmonary, Super Low"
111,01103,TB lung infiltr-micro dx,Tuberculosis,,,"Pulmonary, Super Low"
112,01104,TB lung infiltr-cult dx,Tuberculosis,,,"Pulmonary, Super Low"
113,01105,TB lung infiltr-histo dx,Tuberculosis,,,"Pulmonary, Super Low"
114,01106,TB lung infiltr-oth test,Tuberculosis,,,"Pulmonary, Super Low"
115,00111,TB lung nodular-unspec,Tuberculosis,,,"Pulmonary, Super Low"
116,01111,TB lung nodular-no exam,Tuberculosis,,,"Pulmonary, Super Low"
117,01112,TB lung nodul-exam unkn,Tuberculosis,,,"Pulmonary, Super Low"
118,01113,TB lung nodular-micro dx,Tuberculosis,,,"Pulmonary, Super Low"
119,01114,TB lung nodular-cult dx,Tuberculosis,,,"Pulmonary, Super Low"
120,01115,TB lung nodular-histo dx,Tuberculosis,,,"Pulmonary, Super Low"
121,01116,TB lung nodular-oth test,Tuberculosis,,,"Pulmonary, Super Low"
122,00112,TB lung w cavity-unspec,Tuberculosis,,,"Pulmonary, Super Low"
123,01121,TB lung w cavity-no exam,Tuberculosis,,,"Pulmonary, Super Low"
124,01122,TB lung cavity-exam unkn,Tuberculosis,,,"Pulmonary, Super Low"
125,01123,TB lung w cavit-micro dx,Tuberculosis,,,"Pulmonary, Super Low"
126,01124,TB lung w cavity-cult dx,Tuberculosis,,,"Pulmonary, Super Low"
127,01125,TB lung w cavit-histo dx,Tuberculosis,,,"Pulmonary, Super Low"
128,01126,TB lung w cavit-oth test,Tuberculosis,,,"Pulmonary, Super Low"
129,00113,TB of bronchus-unspec,Tuberculosis,,,"Pulmonary, Super Low"
130,01131,TB of bronchus-no exam,Tuberculosis,,,"Pulmonary, Super Low"
131,01132,TB of bronchus-exam unkn,Tuberculosis,,,"Pulmonary, Super Low"
132,01133,TB of bronchus-micro dx,Tuberculosis,,,"Pulmonary, Super Low"
133,01134,TB of bronchus-cult dx,Tuberculosis,,,"Pulmonary, Super Low"
134,01135,TB of bronchus-histo dx,Tuberculosis,,,"Pulmonary, Super Low"
135,01136,TB of bronchus-oth test,Tuberculosis,,,"Pulmonary, Super Low"
136,00114,TB lung fibrosis-unspec,Tuberculosis,,,"Pulmonary, Super Low"
137,01141,TB lung fibrosis-no exam,Tuberculosis,,,"Pulmonary, Super Low"
138,01142,TB lung fibros-exam unkn,Tuberculosis,,,"Pulmonary, Super Low"
139,01143,TB lung fibros-micro dx,Tuberculosis,,,"Pulmonary, Super Low"
140,01144,TB lung fibrosis-cult dx,Tuberculosis,,,"Pulmonary, Super Low"
141,01145,TB lung fibros-histo dx,Tuberculosis,,,"Pulmonary, Super Low"
142,01146,TB lung fibros-oth test,Tuberculosis,,,"Pulmonary, Super Low"
143,00115,TB bronchiectasis-unspec,Tuberculosis,,,"Pulmonary, Super Low"
144,01151,TB bronchiect-no exam,Tuberculosis,,,"Pulmonary, Super Low"
145,01152,TB bronchiect-exam unkn,Tuberculosis,,,"Pulmonary, Super Low"
146,01153,TB bronchiect-micro dx,Tuberculosis,,,"Pulmonary, Super Low"
147,01154,TB bronchiect-cult dx,Tuberculosis,,,"Pulmonary, Super Low"
148,01155,TB bronchiect-histo dx,Tuberculosis,,,"Pulmonary, Super Low"
149,01156,TB bronchiect-oth test,Tuberculosis,,,"Pulmonary, Super Low"
150,00116,TB pneumonia-unspec,Tuberculosis,,,"Pulmonary, Super Low"
151,01161,TB pneumonia-no exam,Tuberculosis,,,"Pulmonary, Super Low"
152,01162,TB pneumonia-exam unkn,Tuberculosis,,,"Pulmonary, Super Low"
153,01163,TB pneumonia-micro dx,Tuberculosis,,,"Pulmonary, Super Low"
154,01164,TB pneumonia-cult dx,Tuberculosis,,,"Pulmonary, Super Low"
155,01165,TB pneumonia-histo dx,Tuberculosis,,,"Pulmonary, Super Low"
156,01166,TB pneumonia-oth test,Tuberculosis,,,"Pulmonary, Super Low"
157,00117,TB pneumothorax-unspec,Tuberculosis,,,"Pulmonary, Super Low"
158,01171,TB pneumothorax-no exam,Tuberculosis,,,"Pulmonary, Super Low"
159,01172,TB pneumothorx-exam unkn,Tuberculosis,,,"Pulmonary, Super Low"
160,01173,TB pneumothorax-micro dx,Tuberculosis,,,"Pulmonary, Super Low"
161,01174,TB pneumothorax-cult dx,Tuberculosis,,,"Pulmonary, Super Low"
162,01175,TB pneumothorax-histo dx,Tuberculosis,,,"Pulmonary, Super Low"
163,01176,TB pneumothorax-oth test,Tuberculosis,,,"Pulmonary, Super Low"
164,00118,Pulmonary TB NEC-unspec,Tuberculosis,,,"Pulmonary, Super Low"
165,01181,Pulmonary TB NEC-no exam,Tuberculosis,,,"Pulmonary, Super Low"
166,01182,Pulmon TB NEC-exam unkn,Tuberculosis,,,"Pulmonary, Super Low"
167,01183,Pulmon TB NEC-micro dx,Tuberculosis,,,"Pulmonary, Super Low"
168,01184,Pulmon TB NEC-cult dx,Tuberculosis,,,"Pulmonary, Super Low"
169,01185,Pulmon TB NEC-histo dx,Tuberculosis,,,"Pulmonary, Super Low"
170,01186,Pulmon TB NEC-oth test,Tuberculosis,,,"Pulmonary, Super Low"
171,00119,Pulmonary TB NOS-unspec,Tuberculosis,,,"Pulmonary, Super Low"
172,01191,Pulmonary TB NOS-no exam,Tuberculosis,,,"Pulmonary, Super Low"
173,01192,Pulmon TB NOS-exam unkn,Tuberculosis,,,"Pulmonary, Super Low"
174,01193,Pulmon TB NOS-micro dx,Tuberculosis,,,"Pulmonary, Super Low"
175,01194,Pulmon TB NOS-cult dx,Tuberculosis,,,"Pulmonary, Super Low"
176,01195,Pulmon TB NOS-histo dx,Tuberculosis,,,"Pulmonary, Super Low"
177,01196,Pulmon TB NOS-oth test,Tuberculosis,,,"Pulmonary, Super Low"
178,00120,TB pleurisy-unspec,Tuberculosis,,,"Pulmonary, Super Low"
179,01201,TB pleurisy-no exam,Tuberculosis,,,"Pulmonary, Super Low"
180,01202,TB pleurisy-exam unkn,Tuberculosis,,,"Pulmonary, Super Low"
181,01203,TB pleurisy-micro dx,Tuberculosis,,,"Pulmonary, Super Low"
182,01204,TB pleurisy-cult dx,Tuberculosis,,,"Pulmonary, Super Low"
183,01205,TB pleurisy-histolog dx,Tuberculosis,,,"Pulmonary, Super Low"
184,01206,TB pleurisy-oth test,Tuberculosis,,,"Pulmonary, Super Low"
185,00121,TB thoracic nodes-unspec,Tuberculosis,,,"Pulmonary, Super Low"
186,01211,TB thorax node-no exam,Tuberculosis,,,"Pulmonary, Super Low"
187,01212,TB thorax node-exam unkn,Tuberculosis,,,"Pulmonary, Super Low"
188,01213,TB thorax node-micro dx,Tuberculosis,,,"Pulmonary, Super Low"
189,01214,TB thorax node-cult dx,Tuberculosis,,,"Pulmonary, Super Low"
190,01215,TB thorax node-histo dx,Tuberculosis,,,"Pulmonary, Super Low"
191,01216,TB thorax node-oth test,Tuberculosis,,,"Pulmonary, Super Low"
192,00122,Isol tracheal tb-unspec,Tuberculosis,,,"Pulmonary, Super Low"
193,01221,Isol tracheal tb-no exam,Tuberculosis,,,"Pulmonary, Super Low"
194,01222,Isol trach tb-exam unkn,Tuberculosis,,,"Pulmonary, Super Low"
195,01223,Isolat trach tb-micro dx,Tuberculosis,,,"Pulmonary, Super Low"
196,01224,Isol tracheal tb-cult dx,Tuberculosis,,,"Pulmonary, Super Low"
197,01225,Isolat trach tb-histo dx,Tuberculosis,,,"Pulmonary, Super Low"
198,01226,Isolat trach tb-oth test,Tuberculosis,,,"Pulmonary, Super Low"
199,00123,TB laryngitis-unspec,Tuberculosis,,,"Pulmonary, Super Low"
200,01231,TB laryngitis-no exam,Tuberculosis,,,"Pulmonary, Super Low"
201,01232,TB laryngitis-exam unkn,Tuberculosis,,,"Pulmonary, Super Low"
202,01233,TB laryngitis-micro dx,Tuberculosis,,,"Pulmonary, Super Low"
203,01234,TB laryngitis-cult dx,Tuberculosis,,,"Pulmonary, Super Low"
204,01235,TB laryngitis-histo dx,Tuberculosis,,,"Pulmonary, Super Low"
205,01236,TB laryngitis-oth test,Tuberculosis,,,"Pulmonary, Super Low"
206,00128,Resp TB NEC-unspec,Tuberculosis,,,"Pulmonary, Super Low"
207,01281,Resp TB NEC-no exam,Tuberculosis,,,"Pulmonary, Super Low"
208,01282,Resp TB NEC-exam unkn,Tuberculosis,,,"Pulmonary, Super Low"
209,01283,Resp TB NEC-micro dx,Tuberculosis,,,"Pulmonary, Super Low"
210,01284,Resp TB NEC-cult dx,Tuberculosis,,,"Pulmonary, Super Low"
211,01285,Resp TB NEC-histo dx,Tuberculosis,,,"Pulmonary, Super Low"
212,01286,Resp TB NEC-oth test,Tuberculosis,,,"Pulmonary, Super Low"
213,00130,TB meningitis-unspec,Tuberculosis,,,"Pulmonary, Super Low"
214,01301,TB meningitis-no exam,Tuberculosis,,,"Pulmonary, Super Low"
215,01302,TB meningitis-exam unkn,Tuberculosis,,,"Pulmonary, Super Low"
216,01303,TB meningitis-micro dx,Tuberculosis,,,"Pulmonary, Super Low"
217,01304,TB meningitis-cult dx,Tuberculosis,,,"Pulmonary, Super Low"
218,01305,TB meningitis-histo dx,Tuberculosis,,,"Pulmonary, Super Low"
219,01306,TB meningitis-oth test,Tuberculosis,,,"Pulmonary, Super Low"
220,00131,Tubrclma meninges-unspec,Tuberculosis,,,"Pulmonary, Super Low"
221,01311,Tubrclma mening-no exam,Tuberculosis,,,"Pulmonary, Super Low"
222,01312,Tubrclma menin-exam unkn,Tuberculosis,,,"Pulmonary, Super Low"
223,01313,Tubrclma mening-micro dx,Tuberculosis,,,"Pulmonary, Super Low"
224,01314,Tubrclma mening-cult dx,Tuberculosis,,,"Pulmonary, Super Low"
225,01315,Tubrclma mening-histo dx,Tuberculosis,,,"Pulmonary, Super Low"
226,01316,Tubrclma mening-oth test,Tuberculosis,,,"Pulmonary, Super Low"
227,00132,Tuberculoma brain-unspec,Tuberculosis,,,"Pulmonary, Super Low"
228,01321,Tubrcloma brain-no exam,Tuberculosis,,,"Pulmonary, Super Low"
229,01322,Tubrclma brain-exam unkn,Tuberculosis,,,"Pulmonary, Super Low"
230,01323,Tubrcloma brain-micro dx,Tuberculosis,,,"Pulmonary, Super Low"
231,01324,Tubrcloma brain-cult dx,Tuberculosis,,,"Pulmonary, Super Low"
232,01325,Tubrcloma brain-histo dx,Tuberculosis,,,"Pulmonary, Super Low"
233,01326,Tubrcloma brain-oth test,Tuberculosis,,,"Pulmonary, Super Low"
234,00133,TB brain abscess-unspec,Tuberculosis,,,"Pulmonary, Super Low"
235,01331,TB brain abscess-no exam,Tuberculosis,,,"Pulmonary, Super Low"
236,01332,TB brain absc-exam unkn,Tuberculosis,,,"Pulmonary, Super Low"
237,01333,TB brain absc-micro dx,Tuberculosis,,,"Pulmonary, Super Low"
238,01334,TB brain abscess-cult dx,Tuberculosis,,,"Pulmonary, Super Low"
239,01335,TB brain absc-histo dx,Tuberculosis,,,"Pulmonary, Super Low"
240,01336,TB brain absc-oth test,Tuberculosis,,,"Pulmonary, Super Low"
241,00134,Tubrclma sp cord-unspec,Tuberculosis,,,"Pulmonary, Super Low"
242,01341,Tubrclma sp cord-no exam,Tuberculosis,,,"Pulmonary, Super Low"
243,01342,Tubrclma sp cd-exam unkn,Tuberculosis,,,"Pulmonary, Super Low"
244,01343,Tubrclma sp crd-micro dx,Tuberculosis,,,"Pulmonary, Super Low"
245,01344,Tubrclma sp cord-cult dx,Tuberculosis,,,"Pulmonary, Super Low"
246,01345,Tubrclma sp crd-histo dx,Tuberculosis,,,"Pulmonary, Super Low"
247,01346,Tubrclma sp crd-oth test,Tuberculosis,,,"Pulmonary, Super Low"
248,00135,TB sp crd abscess-unspec,Tuberculosis,,,"Pulmonary, Super Low"
249,01351,TB sp crd absc-no exam,Tuberculosis,,,"Pulmonary, Super Low"
250,01352,TB sp crd absc-exam unkn,Tuberculosis,,,"Pulmonary, Super Low"
251,01353,TB sp crd absc-micro dx,Tuberculosis,,,"Pulmonary, Super Low"
252,01354,TB sp crd absc-cult dx,Tuberculosis,,,"Pulmonary, Super Low"
253,01355,TB sp crd absc-histo dx,Tuberculosis,,,"Pulmonary, Super Low"
254,01356,TB sp crd absc-oth test,Tuberculosis,,,"Pulmonary, Super Low"
255,00136,TB encephalitis-unspec,Tuberculosis,,,"Pulmonary, Super Low"
256,01361,TB encephalitis-no exam,Tuberculosis,,,"Pulmonary, Super Low"
257,01362,TB encephalit-exam unkn,Tuberculosis,,,"Pulmonary, Super Low"
258,01363,TB encephalitis-micro dx,Tuberculosis,,,"Pulmonary, Super Low"
259,01364,TB encephalitis-cult dx,Tuberculosis,,,"Pulmonary, Super Low"
260,01365,TB encephalitis-histo dx,Tuberculosis,,,"Pulmonary, Super Low"
261,01366,TB encephalitis-oth test,Tuberculosis,,,"Pulmonary, Super Low"
262,00138,Cns TB NEC-unspec,Tuberculosis,,,"Pulmonary, Super Low"
263,01381,Cns TB NEC-no exam,Tuberculosis,,,"Pulmonary, Super Low"
264,01382,Cns TB NEC-exam unkn,Tuberculosis,,,"Pulmonary, Super Low"
265,01383,Cns TB NEC-micro dx,Tuberculosis,,,"Pulmonary, Super Low"
266,01384,Cns TB NEC-cult dx,Tuberculosis,,,"Pulmonary, Super Low"
267,01385,Cns TB NEC-histo dx,Tuberculosis,,,"Pulmonary, Super Low"
268,01386,Cns TB NEC-oth test,Tuberculosis,,,"Pulmonary, Super Low"
269,00139,Cns TB NOS-unspec,Tuberculosis,,,"Pulmonary, Super Low"
270,01391,Cns TB NOS-no exam,Tuberculosis,,,"Pulmonary, Super Low"
271,01392,Cns TB NOS-exam unkn,Tuberculosis,,,"Pulmonary, Super Low"
272,01393,Cns TB NOS-micro dx,Tuberculosis,,,"Pulmonary, Super Low"
273,01394,Cns TB NOS-cult dx,Tuberculosis,,,"Pulmonary, Super Low"
274,01395,Cns TB NOS-histo dx,Tuberculosis,,,"Pulmonary, Super Low"
275,01396,Cns TB NOS-oth test,Tuberculosis,,,"Pulmonary, Super Low"
276,00140,TB peritonitis-unspec,Tuberculosis,,,"Pulmonary, Super Low"
277,01401,TB peritonitis-no exam,Tuberculosis,,,"Pulmonary, Super Low"
278,01402,TB peritonitis-exam unkn,Tuberculosis,,,"Pulmonary, Super Low"
279,01403,TB peritonitis-micro dx,Tuberculosis,,,"Pulmonary, Super Low"
280,01404,TB peritonitis-cult dx,Tuberculosis,,,"Pulmonary, Super Low"
281,01405,TB peritonitis-histo dx,Tuberculosis,,,"Pulmonary, Super Low"
282,01406,TB peritonitis-oth test,Tuberculosis,,,"Pulmonary, Super Low"
283,00148,Intestinal TB NEC-unspec,Tuberculosis,,,"Pulmonary, Super Low"
284,01481,Intestin TB NEC-no exam,Tuberculosis,,,"Pulmonary, Super Low"
285,01482,Intest TB NEC-exam unkn,Tuberculosis,,,"Pulmonary, Super Low"
286,01483,Intestin TB NEC-micro dx,Tuberculosis,,,"Pulmonary, Super Low"
287,01484,Intestin TB NEC-cult dx,Tuberculosis,,,"Pulmonary, Super Low"
288,01485,Intestin TB NEC-histo dx,Tuberculosis,,,"Pulmonary, Super Low"
289,01486,Intestin TB NEC-oth test,Tuberculosis,,,"Pulmonary, Super Low"
290,00150,TB of vertebra-unspec,Tuberculosis,,,"Pulmonary, Super Low"
291,01501,TB of vertebra-no exam,Tuberculosis,,,"Pulmonary, Super Low"
292,01502,TB of vertebra-exam unkn,Tuberculosis,,,"Pulmonary, Super Low"
293,01503,TB of vertebra-micro dx,Tuberculosis,,,"Pulmonary, Super Low"
294,01504,TB of vertebra-cult dx,Tuberculosis,,,"Pulmonary, Super Low"
295,01505,TB of vertebra-histo dx,Tuberculosis,,,"Pulmonary, Super Low"
296,01506,TB of vertebra-oth test,Tuberculosis,,,"Pulmonary, Super Low"
297,00151,TB of hip-unspec,Tuberculosis,,,"Pulmonary, Super Low"
298,01511,TB of hip-no exam,Tuberculosis,,,"Pulmonary, Super Low"
299,01512,TB of hip-exam unkn,Tuberculosis,,,"Pulmonary, Super Low"
300,01513,TB of hip-micro dx,Tuberculosis,,,"Pulmonary, Super Low"
301,01514,TB of hip-cult dx,Tuberculosis,,,"Pulmonary, Super Low"
302,01515,TB of hip-histo dx,Tuberculosis,,,"Pulmonary, Super Low"
303,01516,TB of hip-oth test,Tuberculosis,,,"Pulmonary, Super Low"
304,00152,TB of knee-unspec,Tuberculosis,,,"Pulmonary, Super Low"
305,01521,TB of knee-no exam,Tuberculosis,,,"Pulmonary, Super Low"
306,01522,TB of knee-exam unkn,Tuberculosis,,,"Pulmonary, Super Low"
307,01523,TB of knee-micro dx,Tuberculosis,,,"Pulmonary, Super Low"
308,01524,TB of knee-cult dx,Tuberculosis,,,"Pulmonary, Super Low"
309,01525,TB of knee-histo dx,Tuberculosis,,,"Pulmonary, Super Low"
310,01526,TB of knee-oth test,Tuberculosis,,,"Pulmonary, Super Low"
311,00155,TB of limb bones-unspec,Tuberculosis,,,"Pulmonary, Super Low"
312,01551,TB limb bones-no exam,Tuberculosis,,,"Pulmonary, Super Low"
313,01552,TB limb bones-exam unkn,Tuberculosis,,,"Pulmonary, Super Low"
314,01553,TB limb bones-micro dx,Tuberculosis,,,"Pulmonary, Super Low"
315,01554,TB limb bones-cult dx,Tuberculosis,,,"Pulmonary, Super Low"
316,01555,TB limb bones-histo dx,Tuberculosis,,,"Pulmonary, Super Low"
317,01556,TB limb bones-oth test,Tuberculosis,,,"Pulmonary, Super Low"
318,00156,TB of mastoid-unspec,Tuberculosis,,,"Pulmonary, Super Low"
319,01561,TB of mastoid-no exam,Tuberculosis,,,"Pulmonary, Super Low"
320,01562,TB of mastoid-exam unkn,Tuberculosis,,,"Pulmonary, Super Low"
321,01563,TB of mastoid-micro dx,Tuberculosis,,,"Pulmonary, Super Low"
322,01564,TB of mastoid-cult dx,Tuberculosis,,,"Pulmonary, Super Low"
323,01565,TB of mastoid-histo dx,Tuberculosis,,,"Pulmonary, Super Low"
324,01566,TB of mastoid-oth test,Tuberculosis,,,"Pulmonary, Super Low"
325,00157,TB of bone NEC-unspec,Tuberculosis,,,"Pulmonary, Super Low"
326,01571,TB of bone NEC-no exam,Tuberculosis,,,"Pulmonary, Super Low"
327,01572,TB of bone NEC-exam unkn,Tuberculosis,,,"Pulmonary, Super Low"
328,01573,TB of bone NEC-micro dx,Tuberculosis,,,"Pulmonary, Super Low"
329,01574,TB of bone NEC-cult dx,Tuberculosis,,,"Pulmonary, Super Low"
330,01575,TB of bone NEC-histo dx,Tuberculosis,,,"Pulmonary, Super Low"
